"domainID","siteID","horizontalPosition","date","mean.wTemp","median.wTemp"
"D13","COMO","101",2018-09-05,7.11968402777778,7.0605
"D13","COMO","101",2018-09-06,6.60735763888889,6.7445
"D13","COMO","101",2018-09-07,5.97232986111111,6.0805
"D13","COMO","101",2018-09-08,6.13332986111111,6.0505
"D13","COMO","101",2018-09-09,6.96864236111111,6.8595
"D13","COMO","101",2018-09-10,6.73987265917603,6.753
"D13","COMO","101",2018-09-11,6.94127430555556,6.798
"D13","COMO","101",2018-09-12,7.33782986111111,7.086
"D13","COMO","101",2018-09-13,7.50020486111111,7.322
"D13","COMO","101",2018-09-14,7.49366666666667,7.341
"D13","COMO","101",2018-09-15,7.16191666666667,6.9695
"D13","COMO","101",2018-09-16,7.76643055555556,7.327
"D13","COMO","101",2018-09-17,8.37441319444445,8.125
"D13","COMO","101",2018-09-18,8.28680902777778,8.1365
"D13","COMO","101",2018-09-19,8.28378472222222,8.1445
"D13","COMO","101",2018-09-20,7.9333125,7.8995
"D13","COMO","101",2018-09-21,6.05170833333333,6.182
"D13","COMO","101",2018-09-22,5.74727430555556,5.548
"D13","COMO","101",2018-09-23,5.99798958333333,5.6
"D13","COMO","101",2018-09-24,6.37507986111111,6.249
"D13","COMO","101",2018-09-25,4.79841319444444,4.9845
"D13","COMO","101",2018-09-26,3.64044097222222,3.5275
"D13","COMO","101",2018-09-27,3.55916756756757,3.489
"D13","COMO","101",2018-09-28,5.04928828828829,5.301
"D13","COMO","101",2018-09-29,4.94747222222222,4.6705
"D13","COMO","101",2018-09-30,5.71326736111111,5.4925
"D13","COMO","101",2018-10-01,6.03032638888889,5.8905
"D13","COMO","101",2018-10-02,6.46428125,6.2995
"D13","COMO","101",2018-10-03,6.85932986111111,6.6645
"D13","COMO","101",2018-10-04,6.29982671480144,6.246
"D13","COMO","101",2018-10-05,4.80869444444444,4.679
"D13","COMO","101",2018-10-06,3.94878472222222,3.938
"D13","COMO","101",2018-10-07,3.48985763888889,3.3815
"D13","COMO","101",2018-10-08,2.58030902777778,2.347
"D13","COMO","101",2018-10-09,1.27060392156863,1.246
"D13","COMO","101",2018-10-10,0.417145833333333,0.2815
"D13","COMO","101",2018-10-11,0.300701388888889,0.201
"D13","COMO","101",2018-10-12,0.294201388888889,0.297
"D13","COMO","101",2018-10-13,0.566993055555556,0.36
"D13","COMO","101",2018-10-14,0.154576388888889,0.022
"D13","COMO","101",2018-10-15,0.0460729166666667,0.04
"D13","COMO","101",2018-10-16,0.0533784722222222,0.0445
"D13","COMO","101",2018-10-17,0.0866458333333333,0.064
"D13","COMO","101",2018-10-18,0.208756944444444,0.16
"D13","COMO","101",2018-10-19,0.386871527777778,0.3425
"D13","COMO","101",2018-10-20,0.299711805555556,0.217
"D13","COMO","101",2018-10-21,0.595871527777778,0.4615
"D13","COMO","101",2018-10-22,0.767246527777778,0.6605
"D13","COMO","101",2018-10-23,1.25339534883721,1.056
"D13","COMO","101",2018-10-24,1.71002083333333,1.573
"D13","COMO","101",2018-10-25,1.19882638888889,1.16
"D13","COMO","101",2018-10-26,0.838635416666667,0.8435
"D13","COMO","101",2018-10-27,0.968798611111111,0.758
"D13","COMO","101",2018-10-28,1.75177777777778,1.611
"D13","COMO","101",2018-10-29,1.8274375,1.732
"D13","COMO","101",2018-10-30,0.99634375,0.852
"D13","COMO","101",2018-10-31,0.0365520833333333,0.032
"D13","COMO","101",2018-11-01,0.0111979166666667,0.009
"D13","COMO","101",2018-11-02,0.0401319444444444,0.0295
"D13","COMO","101",2018-11-03,0.0548298611111111,0.058
"D13","COMO","101",2018-11-04,0.0658506944444444,0.066
"D13","COMO","101",2018-11-05,0.0641875,0.061
"D13","COMO","101",2018-11-06,0.0820208333333333,0.078
"D13","COMO","101",2018-11-07,0.0926181818181818,0.092
"D13","COMO","101",2018-11-08,0.0705902777777778,0.066
"D13","COMO","101",2018-11-09,0.0363055555555556,0.0345
"D13","COMO","101",2018-11-10,0.03734375,0.036
"D13","COMO","101",2018-11-11,0.0493784722222222,0.052
"D13","COMO","101",2018-11-12,0.0446180555555556,0.045
"D13","COMO","101",2018-11-13,0.0615486111111111,0.055
"D13","COMO","101",2018-11-14,0.102993055555556,0.102
"D13","COMO","101",2018-11-15,0.139135416666667,0.138
"D13","COMO","101",2018-11-16,0.15946875,0.158
"D13","COMO","101",2018-11-17,0.159055555555556,0.1635
"D13","COMO","101",2018-11-18,0.109680555555556,0.112
"D13","COMO","101",2018-11-19,0.111809027777778,0.109
"D13","COMO","101",2018-11-20,0.107434027777778,0.104
"D13","COMO","101",2018-11-21,0.113270833333333,0.114
"D13","COMO","101",2018-11-22,0.129909722222222,0.128
"D13","COMO","101",2018-11-23,0.084375,0.072
"D13","COMO","101",2018-11-24,0.0856215277777778,0.089
"D13","COMO","101",2018-11-25,0.0821215277777778,0.0815
"D13","COMO","101",2018-11-26,0.0732465277777778,0.072
"D13","COMO","101",2018-11-27,0.10046875,0.098
"D13","COMO","101",2018-11-28,0.136131944444444,0.134
"D13","COMO","101",2018-11-29,0.139243055555556,0.138
"D13","COMO","101",2018-11-30,0.125138888888889,0.126
"D13","COMO","101",2018-12-01,0.0944131944444444,0.086
"D13","COMO","101",2018-12-02,0.03721875,0.036
"D13","COMO","101",2018-12-03,0.0164548611111111,0.019
"D13","COMO","101",2018-12-04,0.0107048611111111,0.009
"D13","COMO","101",2018-12-05,-0.000274305555555556,-0.003
"D13","COMO","101",2018-12-06,0.00478125,0.004
"D13","COMO","101",2018-12-07,0.0265104166666667,0.027
"D13","COMO","101",2018-12-08,0.0337673611111111,0.033
"D13","COMO","101",2018-12-09,0.0318055555555556,0.032
"D13","COMO","101",2018-12-10,0.0212743055555556,0.019
"D13","COMO","101",2018-12-11,0.0252291666666667,0.023
"D13","COMO","101",2018-12-12,0.00377430555555556,0.002
"D13","COMO","101",2018-12-13,-0.00283680555555556,-0.005
"D13","COMO","101",2018-12-14,0.000579861111111111,-0.001
"D13","COMO","101",2018-12-15,0.0193784722222222,0.019
"D13","COMO","101",2018-12-16,0.0298854166666667,0.027
"D13","COMO","101",2018-12-17,0.0160069444444444,0.0125
"D13","COMO","101",2018-12-18,0.0266909722222222,0.027
"D13","COMO","101",2018-12-19,0.00476388888888889,0.004
"D13","COMO","101",2018-12-20,0.000479166666666667,-0.001
"D13","COMO","101",2018-12-21,0.006125,0.006
"D13","COMO","101",2018-12-22,0.00380902777777778,0.004
"D13","COMO","101",2018-12-23,-0.0127152777777778,-0.013
"D13","COMO","101",2018-12-24,-0.0108993055555556,-0.011
"D13","COMO","101",2018-12-25,-0.00544444444444444,-0.006
"D13","COMO","101",2018-12-26,-0.0071875,-0.008
"D13","COMO","101",2018-12-27,-0.00728472222222222,-0.007
"D13","COMO","101",2018-12-28,-0.0266111111111111,-0.0255
"D13","COMO","101",2018-12-29,-0.0735486111111111,-0.047
"D13","COMO","101",2018-12-30,-0.0278159722222222,-0.03
"D13","COMO","101",2018-12-31,-0.0518506944444444,-0.0535
"D13","COMO","101",2019-01-01,-0.121128472222222,-0.1065
"D13","COMO","101",2019-01-02,-0.172159722222222,-0.176
"D13","COMO","101",2019-01-03,-0.0384340277777778,-0.036
"D13","COMO","101",2019-01-04,-0.0247569444444444,-0.024
"D13","COMO","101",2019-01-05,-0.0348854166666667,-0.035
"D13","COMO","101",2019-01-06,-0.0358993055555556,-0.036
"D13","COMO","101",2019-01-07,-0.0488993055555556,-0.049
"D13","COMO","101",2019-01-08,-0.0366979166666667,-0.035
"D13","COMO","101",2019-01-09,-0.0360208333333333,-0.035
"D13","COMO","101",2019-01-10,-0.0271944444444444,-0.027
"D13","COMO","101",2019-01-11,-0.0257777777777778,-0.026
"D13","COMO","101",2019-01-12,-0.0236527777777778,-0.024
"D13","COMO","101",2019-01-13,0.00446875,0.01
"D13","COMO","101",2019-01-14,0.0250069444444444,0.026
"D13","COMO","101",2019-01-15,0.0257118055555556,0.026
"D13","COMO","101",2019-01-16,0.0344548611111111,0.0335
"D13","COMO","101",2019-01-17,0.04578125,0.046
"D13","COMO","101",2019-01-18,0.0495034722222222,0.049
"D13","COMO","101",2019-01-19,0.0543506944444444,0.054
"D13","COMO","101",2019-01-20,0.05615625,0.057
"D13","COMO","101",2019-01-21,0.0654722222222222,0.067
"D13","COMO","101",2019-01-22,0.0672326388888889,0.068
"D13","COMO","101",2019-01-23,0.0687534722222222,0.065
"D13","COMO","101",2019-01-24,0.0630138888888889,0.064
"D13","COMO","101",2019-01-25,0.0618263888888889,0.062
"D13","COMO","101",2019-01-26,0.0652326388888889,0.065
"D13","COMO","101",2019-01-27,0.0676006944444444,0.068
"D13","COMO","101",2019-01-28,0.0710590277777778,0.071
"D13","COMO","101",2019-01-29,0.0674375,0.067
"D13","COMO","101",2019-01-30,0.0657361111111111,0.065
"D13","COMO","101",2019-01-31,0.0655451388888889,0.064
"D13","COMO","101",2019-02-01,0.0755729166666667,0.0755
"D13","COMO","101",2019-02-02,0.0805069444444445,0.081
"D13","COMO","101",2019-02-03,0.0860208333333333,0.086
"D13","COMO","101",2019-02-04,0.0917777777777778,0.092
"D13","COMO","101",2019-02-05,0.0944583333333333,0.094
"D13","COMO","101",2019-02-06,0.0974270833333333,0.098
"D13","COMO","101",2019-02-07,0.0928506944444445,0.093
"D13","COMO","101",2019-02-08,0.0647465277777778,0.067
"D13","COMO","101",2019-02-09,0.0563194444444444,0.055
"D13","COMO","101",2019-02-10,0.0584583333333333,0.059
"D13","COMO","101",2019-02-11,0.057,0.056
"D13","COMO","101",2019-02-12,0.0380833333333333,0.036
"D13","COMO","101",2019-02-13,0.029625,0.029
"D13","COMO","101",2019-02-14,0.0436770833333333,0.043
"D13","COMO","101",2019-02-15,0.0596840277777778,0.058
"D13","COMO","101",2019-02-16,0.0717361111111111,0.0715
"D13","COMO","101",2019-02-17,0.0752604166666667,0.079
"D13","COMO","101",2019-02-18,0.0677361111111111,0.068
"D13","COMO","101",2019-02-19,0.0650625,0.067
"D13","COMO","101",2019-02-20,0.0535,0.054
"D13","COMO","101",2019-02-21,0.0432395833333333,0.045
"D13","COMO","101",2019-02-22,0.0377118055555556,0.038
"D13","COMO","101",2019-02-23,0.0437152777777778,0.044
"D13","COMO","101",2019-02-24,0.0435104166666667,0.044
"D13","COMO","101",2019-02-25,0.0408333333333333,0.041
"D13","COMO","101",2019-02-26,0.0479513888888889,0.048
"D13","COMO","101",2019-02-27,0.0512361111111111,0.052
"D13","COMO","101",2019-02-28,0.0555208333333333,0.055
"D13","COMO","101",2019-03-01,0.0638611111111111,0.064
"D13","COMO","101",2019-03-02,0.0685486111111111,0.068
"D13","COMO","101",2019-03-03,0.0731076388888889,0.072
"D13","COMO","101",2019-03-04,0.0731666666666667,0.072
"D13","COMO","101",2019-03-05,0.0801875,0.079
"D13","COMO","101",2019-03-06,0.0796666666666667,0.08
"D13","COMO","101",2019-03-07,0.0853055555555556,0.085
"D13","COMO","101",2019-03-08,0.0856180555555556,0.085
"D13","COMO","101",2019-03-09,0.0808506944444444,0.081
"D13","COMO","101",2019-03-10,0.0863888888888889,0.087
"D13","COMO","101",2019-03-11,0.0879375,0.088
"D13","COMO","101",2019-03-12,0.0893125,0.09
"D13","COMO","101",2019-03-13,0.0782604166666667,0.0805
"D13","COMO","101",2019-03-14,0.09678125,0.096
"D13","COMO","101",2019-03-15,0.101722222222222,0.098
"D13","COMO","101",2019-03-16,0.102493055555556,0.1045
"D13","COMO","101",2019-03-17,0.101871527777778,0.106
"D13","COMO","101",2019-03-18,0.09725,0.098
"D13","COMO","101",2019-03-19,0.109118279569892,0.112
"D13","COMO","101",2019-03-20,0.110954861111111,0.113
"D13","COMO","101",2019-03-21,0.101323651452282,0.1
"D13","COMO","101",2019-03-22,0.100326388888889,0.099
"D13","COMO","101",2019-03-23,0.0907176470588235,0.089
"D13","COMO","101",2019-03-24,0.09153125,0.092
"D13","COMO","101",2019-03-25,0.0878194444444444,0.089
"D13","COMO","101",2019-03-26,0.0806701388888889,0.081
"D13","COMO","101",2019-03-27,0.0608541666666667,0.065
"D13","COMO","101",2019-03-28,0.00728472222222222,0.0035
"D13","COMO","101",2019-03-29,0.01709375,0.0135
"D13","COMO","101",2019-03-30,0.0690729166666667,0.07
"D13","COMO","101",2019-03-31,0.0889826388888889,0.086
"D13","COMO","101",2019-04-01,0.100795138888889,0.102
"D13","COMO","101",2019-04-02,0.107538194444444,0.108
"D13","COMO","101",2019-04-03,0.111760416666667,0.112
"D13","COMO","101",2019-04-04,0.116631944444444,0.1165
"D13","COMO","101",2019-04-05,0.117312,0.1175
"D13","COMO","101",2019-04-06,0.109927083333333,0.111
"D13","COMO","101",2019-04-07,0.0756354166666667,0.075
"D13","COMO","101",2019-04-08,0.0369647887323944,0.032
"D13","COMO","101",2019-04-09,0.0152222222222222,0.0085
"D13","COMO","101",2019-04-10,-0.0149479166666667,-0.018
"D13","COMO","101",2019-04-11,0.0545069444444444,0.061
"D13","COMO","101",2019-04-12,0.0909444444444444,0.091
"D13","COMO","101",2019-04-13,0.1055625,0.106
"D13","COMO","101",2019-04-14,0.113100694444444,0.113
"D13","COMO","101",2019-04-15,0.116197916666667,0.116
"D13","COMO","101",2019-04-16,0.0730729166666667,0.0735
"D13","COMO","101",2019-04-17,0.105902777777778,0.112
"D13","COMO","101",2019-04-18,0.119833333333333,0.126
"D13","COMO","101",2019-04-19,0.07828125,0.0905
"D13","COMO","101",2019-04-20,-0.0191388888888889,-0.023
"D13","COMO","101",2019-04-21,0.0321979166666667,0.023
"D13","COMO","101",2019-04-22,0.130840277777778,0.134
"D13","COMO","101",2019-04-23,0.156201388888889,0.158
"D13","COMO","101",2019-04-24,0.0777673611111111,0.0865
"D13","COMO","101",2019-04-25,0.0152638888888889,-0.0175
