"year","date","mean.discharge","median.discharge","mean.gh","median.gh"
2018,2018-03-24,99.1010416666667,99.5,6.34135416666667,6.345
2018,2018-03-25,99.3833333333333,99,6.34333333333333,6.34
2018,2018-03-26,92.2354166666667,91.9,6.29239583333333,6.29
2018,2018-03-27,91.6958333333333,91.2,6.28854166666667,6.285
2018,2018-03-28,94.375,94.7,6.30770833333333,6.31
2018,2018-03-29,115.177083333333,115,6.44625,6.445
2018,2018-03-30,133.270833333333,137,6.55510416666667,6.58
2018,2018-03-31,136.770833333333,137,6.57416666666667,6.58
2018,2018-04-01,113.489583333333,114,6.43625,6.44
2018,2018-04-02,103.270833333333,103,6.36989583333333,6.37
2018,2018-04-03,105.358333333333,105,6.38322916666667,6.38
2018,2018-04-04,182.583333333333,186,6.81114583333333,6.83
2018,2018-04-05,172.427083333333,166.5,6.75833333333333,6.735
2018,2018-04-06,122.882978723404,121,6.1875,6.47
2018,2018-04-07,139.322916666667,146,6.5890625,6.63
2018,2018-04-08,138.15625,136,6.58260416666667,6.57
2018,2018-04-09,114.4375,114,6.44145833333333,6.44
2018,2018-04-10,104.270833333333,103,6.37770833333333,6.37
2018,2018-04-11,101.625,102,6.35875,6.36
2018,2018-04-12,96.7416666666667,96.1,6.324375,6.32
2018,2018-04-13,100.633333333333,102,6.35239583333333,6.36
2018,2018-04-14,94.1895833333333,94.7,6.30635416666667,6.31
2018,2018-04-15,83.615625,83.8,6.2284375,6.23
2018,2018-04-16,225.95,91.9,6.73354166666667,6.29
2018,2018-04-17,618.697916666667,526.5,8.16989583333333,7.99
2018,2018-04-18,311.041666666667,295,7.32458333333333,7.28
2018,2018-04-19,229.416666666667,226,7.021875,7.01
2018,2018-04-20,193.989583333333,192,6.86604166666667,6.86
2018,2018-04-21,157.541666666667,156,6.68864583333333,6.68
2018,2018-04-22,137.84375,136,6.58197916666667,6.57
2018,2018-04-23,124.854166666667,124,6.50604166666667,6.5
2018,2018-04-24,115.697916666667,114,6.44989583333333,6.44
2018,2018-04-25,151.322916666667,116,6.621875,6.45
2018,2018-04-26,380.520833333333,381.5,7.56166666666667,7.575
2018,2018-04-27,206.71875,197,6.92145833333333,6.88
2018,2018-04-28,179.208333333333,182,6.79708333333333,6.81
2018,2018-04-29,176.8125,174.5,6.78302083333333,6.775
2018,2018-04-30,176.635416666667,173,6.78270833333333,6.77
2018,2018-05-01,143.052083333333,141,6.61135416666667,6.6
2018,2018-05-02,126.729166666667,125,6.518125,6.51
2018,2018-05-03,114.833333333333,114,6.4434375,6.44
2018,2018-05-04,111.96875,113,6.42489583333333,6.43
2018,2018-05-05,104.635416666667,105,6.3790625,6.38
2018,2018-05-06,95.14375,94.7,6.313125,6.31
2018,2018-05-07,98.5614583333333,99,6.33791666666667,6.34
2018,2018-05-08,87.7052083333333,86.4,6.259375,6.25
2018,2018-05-09,81.0375,79.9,6.20875,6.2
2018,2018-05-10,75.090625,74.9,6.16145833333333,6.16
2018,2018-05-11,71.8125,71.3,6.13427083333333,6.13
2018,2018-05-12,65.7489583333333,65.5,6.0821875,6.08
2018,2018-05-13,78.0489583333333,77.4,6.18510416666667,6.18
2018,2018-05-14,70.203125,68.9,6.12072916666667,6.11
2018,2018-05-15,65.6833333333333,63.2,6.08125,6.06
2018,2018-05-16,84.7833333333333,85.1,6.23697916666667,6.24
2018,2018-05-17,69.4020833333333,68.35,6.11375,6.105
2018,2018-05-18,60.1989583333333,58.9,6.03177083333333,6.02
2018,2018-05-19,54.0114583333333,52.7,5.97208333333333,5.96
2018,2018-05-20,92.0145833333333,94,6.28895833333333,6.305
2018,2018-05-21,72.1635416666667,70.1,6.13625,6.12
2018,2018-05-22,55.7333333333333,54.7,5.98958333333333,5.98
