"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","DO","pH","turb","date","time"
"D01","HOPB","102","100",2019-09-17 17:50:30,2019-09-17 17:50:30,9.84,7.14,0.89,2019-09-17,"17:50:30"
"D01","HOPB","102","100",2019-09-17 17:51:30,2019-09-17 17:51:30,9.83,7.13,0.89,2019-09-17,"17:51:30"
"D01","HOPB","102","100",2019-09-17 17:52:30,2019-09-17 17:52:30,9.83,7.13,0.89,2019-09-17,"17:52:30"
"D01","HOPB","102","100",2019-09-17 17:53:30,2019-09-17 17:53:30,9.83,7.13,0.87,2019-09-17,"17:53:30"
"D01","HOPB","102","100",2019-09-17 17:54:30,2019-09-17 17:54:30,9.83,7.13,0.85,2019-09-17,"17:54:30"
"D01","HOPB","102","100",2019-09-17 17:55:30,2019-09-17 17:55:30,9.84,7.13,0.86,2019-09-17,"17:55:30"
"D01","HOPB","102","100",2019-09-17 17:56:30,2019-09-17 17:56:30,9.84,7.13,0.9,2019-09-17,"17:56:30"
"D01","HOPB","102","100",2019-09-17 17:57:30,2019-09-17 17:57:30,9.84,7.13,0.9,2019-09-17,"17:57:30"
"D01","HOPB","102","100",2019-09-17 17:58:30,2019-09-17 17:58:30,9.83,7.13,0.91,2019-09-17,"17:58:30"
"D01","HOPB","102","100",2019-09-17 17:59:30,2019-09-17 17:59:30,9.83,7.13,0.84,2019-09-17,"17:59:30"
"D01","HOPB","102","100",2019-09-17 18:00:30,2019-09-17 18:00:30,9.83,7.13,0.86,2019-09-17,"18:00:30"
"D01","HOPB","102","100",2019-09-17 18:01:30,2019-09-17 18:01:30,9.83,7.13,0.86,2019-09-17,"18:01:30"
"D01","HOPB","102","100",2019-09-17 18:02:30,2019-09-17 18:02:30,9.83,7.13,0.86,2019-09-17,"18:02:30"
"D01","HOPB","102","100",2019-09-17 18:03:30,2019-09-17 18:03:30,9.83,7.13,0.84,2019-09-17,"18:03:30"
"D01","HOPB","102","100",2019-09-17 18:04:30,2019-09-17 18:04:30,9.83,7.14,0.88,2019-09-17,"18:04:30"
"D01","HOPB","102","100",2019-09-17 18:05:30,2019-09-17 18:05:30,9.82,7.14,0.91,2019-09-17,"18:05:30"
"D01","HOPB","102","100",2019-09-17 18:06:30,2019-09-17 18:06:30,9.82,7.14,0.86,2019-09-17,"18:06:30"
"D01","HOPB","102","100",2019-09-17 18:07:30,2019-09-17 18:07:30,9.82,7.14,0.86,2019-09-17,"18:07:30"
"D01","HOPB","102","100",2019-09-17 18:08:30,2019-09-17 18:08:30,9.81,7.14,0.88,2019-09-17,"18:08:30"
"D01","HOPB","102","100",2019-09-17 18:09:30,2019-09-17 18:09:30,9.81,7.13,0.87,2019-09-17,"18:09:30"
"D01","HOPB","102","100",2019-09-17 18:10:30,2019-09-17 18:10:30,9.81,7.14,0.83,2019-09-17,"18:10:30"
"D01","HOPB","102","100",2019-09-17 18:11:30,2019-09-17 18:11:30,9.8,7.13,0.89,2019-09-17,"18:11:30"
"D01","HOPB","102","100",2019-09-17 18:12:30,2019-09-17 18:12:30,9.8,7.13,0.89,2019-09-17,"18:12:30"
"D01","HOPB","102","100",2019-09-17 18:13:30,2019-09-17 18:13:30,9.81,7.13,0.83,2019-09-17,"18:13:30"
"D01","HOPB","102","100",2019-09-17 18:14:30,2019-09-17 18:14:30,9.81,7.13,0.87,2019-09-17,"18:14:30"
"D01","HOPB","102","100",2019-09-17 18:15:30,2019-09-17 18:15:30,9.81,7.13,0.88,2019-09-17,"18:15:30"
"D01","HOPB","102","100",2019-09-17 18:16:30,2019-09-17 18:16:30,9.81,7.13,0.88,2019-09-17,"18:16:30"
"D01","HOPB","102","100",2019-09-17 18:17:30,2019-09-17 18:17:30,9.81,7.13,0.88,2019-09-17,"18:17:30"
"D01","HOPB","102","100",2019-09-17 18:18:30,2019-09-17 18:18:30,9.81,7.13,0.86,2019-09-17,"18:18:30"
"D01","HOPB","102","100",2019-09-17 18:19:30,2019-09-17 18:19:30,9.81,7.13,0.9,2019-09-17,"18:19:30"
"D01","HOPB","102","100",2019-09-17 18:20:30,2019-09-17 18:20:30,9.8,7.13,0.84,2019-09-17,"18:20:30"
"D01","HOPB","102","100",2019-09-17 18:21:30,2019-09-17 18:21:30,9.81,7.13,1.32,2019-09-17,"18:21:30"
"D01","HOPB","102","100",2019-09-17 18:22:30,2019-09-17 18:22:30,9.81,7.13,1.32,2019-09-17,"18:22:30"
"D01","HOPB","102","100",2019-09-17 18:23:30,2019-09-17 18:23:30,9.81,7.13,0.87,2019-09-17,"18:23:30"
"D01","HOPB","102","100",2019-09-17 18:24:30,2019-09-17 18:24:30,9.8,7.13,0.87,2019-09-17,"18:24:30"
"D01","HOPB","102","100",2019-09-17 18:25:30,2019-09-17 18:25:30,9.8,7.13,0.91,2019-09-17,"18:25:30"
"D01","HOPB","102","100",2019-09-17 18:26:30,2019-09-17 18:26:30,9.8,7.13,0.88,2019-09-17,"18:26:30"
"D01","HOPB","102","100",2019-09-17 18:27:30,2019-09-17 18:27:30,9.8,7.13,0.88,2019-09-17,"18:27:30"
"D01","HOPB","102","100",2019-09-17 18:28:30,2019-09-17 18:28:30,9.79,7.13,0.88,2019-09-17,"18:28:30"
"D01","HOPB","102","100",2019-09-17 18:29:30,2019-09-17 18:29:30,9.79,7.13,0.86,2019-09-17,"18:29:30"
"D01","HOPB","102","100",2019-09-17 18:30:30,2019-09-17 18:30:30,9.79,7.13,0.86,2019-09-17,"18:30:30"
"D01","HOPB","102","100",2019-09-23 17:30:00,2019-09-23 17:30:00,9.12,7.06,3.96,2019-09-23,"17:30:00"
"D01","HOPB","102","100",2019-09-23 17:31:00,2019-09-23 17:31:00,9.12,7.06,3.85,2019-09-23,"17:31:00"
"D01","HOPB","102","100",2019-09-23 17:32:00,2019-09-23 17:32:00,9.11,7.05,3.87,2019-09-23,"17:32:00"
"D01","HOPB","102","100",2019-09-23 17:33:00,2019-09-23 17:33:00,9.11,7.05,3.87,2019-09-23,"17:33:00"
"D01","HOPB","102","100",2019-09-23 17:34:00,2019-09-23 17:34:00,9.1,7.05,4.04,2019-09-23,"17:34:00"
"D01","HOPB","102","100",2019-09-23 17:35:00,2019-09-23 17:35:00,9.11,7.06,3.95,2019-09-23,"17:35:00"
"D01","HOPB","102","100",2019-09-23 17:36:00,2019-09-23 17:36:00,9.11,7.05,3.84,2019-09-23,"17:36:00"
"D01","HOPB","102","100",2019-09-23 17:37:00,2019-09-23 17:37:00,9.11,7.06,3.93,2019-09-23,"17:37:00"
