"date","DO","siteID"
2019-09-30,10.11,"HOPB"
2019-09-30,10.12,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.1,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.09,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.07,"HOPB"
2019-09-30,10.07,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.08,"HOPB"
2019-09-30,10.07,"HOPB"
2019-09-30,10.07,"HOPB"
2019-09-16,9.53,"HOPB"
2019-09-16,9.53,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.54,"HOPB"
2019-09-16,9.53,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.51,"HOPB"
2019-09-16,9.53,"HOPB"
2019-09-16,9.53,"HOPB"
2019-09-16,9.54,"HOPB"
2019-09-16,9.54,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.5,"HOPB"
2019-09-16,9.51,"HOPB"
2019-09-16,9.49,"HOPB"
2019-09-16,9.49,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.49,"HOPB"
2019-09-16,9.52,"HOPB"
2019-09-16,9.5,"HOPB"
2019-09-16,9.5,"HOPB"
2019-09-16,9.5,"HOPB"
2019-09-16,9.49,"HOPB"
2019-09-16,9.48,"HOPB"
2019-09-16,9.47,"HOPB"
2019-09-16,9.47,"HOPB"
2019-09-16,9.51,"HOPB"
2019-09-16,9.5,"HOPB"
2019-09-16,9.49,"HOPB"
2019-09-16,9.49,"HOPB"
2019-09-16,9.49,"HOPB"
2019-09-16,9.48,"HOPB"
2019-09-16,9.48,"HOPB"
2019-09-16,9.48,"HOPB"
2019-09-16,9.47,"HOPB"
2019-09-16,9.48,"HOPB"
2019-09-16,9.47,"HOPB"
