"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","wTemp","date","time"
"D01","HOPB","111","100",2019-09-23 17:30:00,2019-09-23 17:35:00,16.698,2019-09-23,"17:30:00"
"D01","HOPB","111","100",2019-09-23 17:35:00,2019-09-23 17:40:00,16.767,2019-09-23,"17:35:00"
"D01","HOPB","111","100",2019-09-23 17:40:00,2019-09-23 17:45:00,16.833,2019-09-23,"17:40:00"
"D01","HOPB","111","100",2019-09-23 17:45:00,2019-09-23 17:50:00,16.911,2019-09-23,"17:45:00"
"D01","HOPB","111","100",2019-09-23 17:50:00,2019-09-23 17:55:00,16.992,2019-09-23,"17:50:00"
"D01","HOPB","111","100",2019-09-23 17:55:00,2019-09-23 18:00:00,17.07,2019-09-23,"17:55:00"
"D01","HOPB","111","100",2019-09-23 18:00:00,2019-09-23 18:05:00,17.154,2019-09-23,"18:00:00"
"D01","HOPB","111","100",2019-09-23 18:05:00,2019-09-23 18:10:00,17.246,2019-09-23,"18:05:00"
"D01","HOPB","111","100",2019-09-23 18:10:00,2019-09-23 18:15:00,17.339,2019-09-23,"18:10:00"
"D01","HOPB","111","100",2019-09-23 18:15:00,2019-09-23 18:20:00,17.418,2019-09-23,"18:15:00"
"D01","HOPB","111","100",2019-09-23 18:20:00,2019-09-23 18:25:00,17.491,2019-09-23,"18:20:00"
"D01","HOPB","111","100",2019-09-23 18:25:00,2019-09-23 18:30:00,17.566,2019-09-23,"18:25:00"
"D01","HOPB","111","100",2019-09-23 18:30:00,2019-09-23 18:35:00,17.62,2019-09-23,"18:30:00"
"D01","HOPB","111","100",2019-09-24 17:30:00,2019-09-24 17:35:00,15.645,2019-09-24,"17:30:00"
"D01","HOPB","111","100",2019-09-24 17:35:00,2019-09-24 17:40:00,15.636,2019-09-24,"17:35:00"
"D01","HOPB","111","100",2019-09-24 17:40:00,2019-09-24 17:45:00,15.629,2019-09-24,"17:40:00"
"D01","HOPB","111","100",2019-09-24 17:45:00,2019-09-24 17:50:00,15.625,2019-09-24,"17:45:00"
"D01","HOPB","111","100",2019-09-24 17:50:00,2019-09-24 17:55:00,15.623,2019-09-24,"17:50:00"
"D01","HOPB","111","100",2019-09-24 17:55:00,2019-09-24 18:00:00,15.634,2019-09-24,"17:55:00"
"D01","HOPB","111","100",2019-09-24 18:00:00,2019-09-24 18:05:00,15.67,2019-09-24,"18:00:00"
"D01","HOPB","111","100",2019-09-24 18:05:00,2019-09-24 18:10:00,15.711,2019-09-24,"18:05:00"
"D01","HOPB","111","100",2019-09-24 18:10:00,2019-09-24 18:15:00,15.724,2019-09-24,"18:10:00"
